                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   3.39,                 4.7009,                 4.2629,                 0.0007,                0.15068,                0.00143,                0.00038,                 3.1698,                 4.4536,                 4.1024,               0.070714,               0.003254,               0.003254
                      1,                 3.0594,                  3.872,                 4.1132,                0.00208,                0.09589,                0.00169,                0.00034,                  3.157,                  4.423,                 4.0856,               0.040453,              0.0063264,              0.0063264
                      2,                 2.5404,                 2.8697,                 3.3499,                0.10054,                 0.0274,                 0.0367,                0.01924,                 2.1192,                 3.6382,                 3.4569,              0.0099286,              0.0091349,              0.0091349
                      3,                 2.3451,                 2.4217,                  2.765,                0.40134,                0.40639,                0.33708,                0.19702,                  1.935,                 3.0777,                 2.9121,               0.008812,               0.008812,               0.008812
                      4,                 1.9622,                 1.9229,                 2.2412,                0.46939,                0.50228,                0.43401,                0.20417,                 1.7408,                 2.2688,                 2.6363,               0.008812,               0.008812,               0.008812
                      5,                 1.8968,                 1.6896,                 2.1266,                0.89722,                0.67764,                0.80489,                0.51884,                 1.3458,                 1.6446,                 1.8209,               0.008416,               0.008416,               0.008416
                      6,                 1.6545,                  1.495,                 1.9333,                0.91386,                0.74429,                 0.8577,                0.53264,                   1.36,                 1.4004,                 1.7656,                0.00802,                0.00802,                0.00802
                      7,                 1.5765,                 1.3217,                 1.7896,                0.81222,                0.65178,                0.78039,                0.49144,                 1.2276,                 1.4425,                 1.5584,               0.007624,               0.007624,               0.007624
                      8,                 1.4873,                  1.207,                 1.7158,                0.91264,                0.83562,                0.91797,                 0.5907,                 1.2313,                 1.0568,                 1.5636,               0.007228,               0.007228,               0.007228
                      9,                 1.4339,                 1.1465,                 1.6966,                0.88477,                0.88128,                0.93896,                0.64355,                 1.1351,                0.96455,                  1.511,               0.006832,               0.006832,               0.006832
                     10,                 1.3668,                 1.0496,                 1.5828,                0.90363,                0.87671,                0.94756,                 0.6113,                 1.1669,                 1.0877,                 1.4792,               0.006436,               0.006436,               0.006436
                     11,                 1.2919,                 1.0007,                 1.5307,                0.93574,                0.93083,                0.97225,                0.69992,                 1.0269,                0.87332,                 1.3381,                0.00604,                0.00604,                0.00604
                     12,                 1.2649,                0.91953,                  1.491,                0.92722,                0.94977,                0.98198,                0.67259,                 1.0724,                 0.7842,                 1.3649,               0.005644,               0.005644,               0.005644
                     13,                 1.2101,                0.87075,                 1.4481,                0.96695,                0.92694,                0.97344,                0.70411,                 1.0326,                0.71486,                 1.3484,               0.005248,               0.005248,               0.005248
                     14,                 1.2086,                0.85662,                 1.4261,                0.97558,                0.91211,                0.97736,                0.70625,                0.99131,                0.70697,                 1.2905,               0.004852,               0.004852,               0.004852
                     15,                 1.1767,                0.81702,                 1.4014,                0.98412,                0.94521,                0.99104,                0.71592,                0.98836,                0.71216,                 1.2943,               0.004456,               0.004456,               0.004456
                     16,                  1.168,                 0.8008,                 1.3898,                0.94934,                0.94123,                0.96958,                 0.7171,                0.96238,                 0.6983,                 1.2885,                0.00406,                0.00406,                0.00406
                     17,                 1.1492,                  0.779,                 1.3747,                0.98564,                0.94003,                0.99105,                0.73268,                0.95365,                0.63246,                 1.2429,               0.003664,               0.003664,               0.003664
                     18,                 1.0866,                0.74599,                 1.3004,                0.98321,                0.97717,                0.99399,                0.73767,                0.93822,                0.59354,                 1.2549,               0.003268,               0.003268,               0.003268
                     19,                 1.1164,                0.72399,                 1.3469,                0.99074,                0.97739,                0.99374,                0.74536,                0.92552,                0.59027,                 1.2279,               0.002872,               0.002872,               0.002872
                     20,                 1.0834,                0.70906,                 1.3382,                0.99537,                0.98191,                0.99491,                0.75958,                0.89103,                0.55489,                 1.2126,               0.002476,               0.002476,               0.002476
                     21,                 1.0721,                0.69385,                 1.3272,                0.99521,                0.99087,                0.99495,                0.73538,                0.96642,                0.57145,                 1.2505,                0.00208,                0.00208,                0.00208
                     22,                 1.0644,                0.69993,                 1.3277,                0.98187,                0.98938,                 0.9944,                0.78005,                0.87298,                0.54263,                 1.1845,               0.001684,               0.001684,               0.001684
                     23,                 1.1015,                0.77024,                 1.3368,                0.99474,                 0.9726,                0.99441,                0.77592,                0.88947,                0.53336,                 1.1798,               0.001288,               0.001288,               0.001288
                     24,                 1.0249,                0.66769,                 1.2695,                0.99322,                0.99543,                0.99495,                0.76599,                0.90759,                0.53178,                 1.1921,               0.000892,               0.000892,               0.000892
